DEP;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
1;-0.22816;0.17951;1.32283;-0.40216;0.54687;-0.35524;-0.44312;1.64194;-1.44454
1;-0.12279;0.12328;0.84983;-0.47644;-0.23439;0.32939;-0.81993;1.09675;-1.55863
1;0.35752;0.4057;0.26741;-1.04085;0.71953;0.8653;-0.05084;1.64283;7.00671
1;-0.25258;0.4744;0.78383;0.68645;1.42535;-0.74211;-0.85537;1.17605;1.53226
1;-0.64482;1.06319;-0.03458;-0.23521;1.11141;-0.56337;-1.3641;0.15576;1.09671
1;-0.78658;0.74427;-0.02192;-0.22189;-0.70371;-0.58105;-1.72436;0.07078;0.29544
1;-0.56457;-0.24516;-1.56283;-0.04093;-0.569;-0.44399;0.35503;1.04143;1.05093
1;0.18491;0.48595;0.9468;-0.59593;0.26285;-0.21805;-0.30603;0.79215;-1.42508
1;0.15429;0.52082;1.11306;-0.53235;0.29194;-0.37043;-0.5139;0.40453;-1.40788
1;0.20107;0.5066;0.70823;-0.65899;0.23741;-0.16207;-0.2508;0.92002;-1.43162
1;0.17362;0.56848;0.86163;-0.66025;0.30107;-0.58131;-0.30333;1.08582;-1.42683
1;0.17908;0.55559;0.90649;-0.62571;0.27656;-0.4342;-0.45563;0.68988;-1.40551
1;-0.17744;0.17021;1.15139;-0.44443;0.35468;-0.07636;-0.74365;1.11948;-1.55963
1;-0.46603;-0.25128;1.09605;-0.3635;-0.33363;-0.48737;-1.02966;1.5742;0.07559
1;-0.10553;0.09358;0.77205;-0.49865;0.02076;0.21913;-0.84715;0.99341;-1.646
1;-0.17435;0.17001;1.12027;-0.44961;0.37076;-0.13918;-0.63223;1.34103;-1.57529
1;-0.18008;0.16371;1.17275;-0.4304;0.35206;-0.03786;-0.78709;1.03354;-1.55822
1;-0.22748;0.15996;1.37984;-0.38227;0.55021;-0.3263;-0.51089;1.49587;-1.45151
1;0.14412;0.3324;0.86504;-0.90102;0.19868;-0.31398;-0.0912;0.23114;-1.46955
1;0.0628;0.64969;0.4136;-0.80755;0.05218;-0.70468;-0.51616;-0.11213;-1.52331
1;0.22551;0.56608;1.05794;-0.50467;0.33332;0.12648;-0.67896;0.58988;-1.1683
0;0.1095;-0.07766;-0.03468;0.85251;-0.28521;1.6215;1.98909;-1.65995;0.41103
0;-0.31357;0.27763;-0.06307;0.17496;-0.27763;0.03632;0.5472;-1.23697;-0.90143
0;-0.03153;-0.01475;-0.01454;-0.04279;0.68095;-0.50113;0.62897;-1.28916;-0.89097
0;-0.02474;0.40622;-0.00351;-0.0615;0.36424;1.9695;0.08513;-0.90749;-2.20325
0;-0.06633;-0.2734;-0.34418;1.28715;-0.57277;1.1639;1.01051;-1.25375;0.6425
0;0.07273;-0.1834;0.5015;-0.60053;0.55822;2.10028;-0.13925;-0.37243;1.34614
0;0.58175;-0.30012;-1.18993;1.1082;1.37869;0.16843;0.53882;1.00336;-3.5869
0;0.17518;-0.09909;0.83301;-0.33675;-0.66353;1.55043;-0.13057;0.00458;-0.01168
0;-0.00316;0.07946;-0.12356;0.64923;0.27566;1.99622;0.65683;0.25711;-0.46168
0;0.34001;1.12755;0.55898;0.05582;-0.66088;0.52612;0.17499;-0.64805;-0.49596
0;-0.47263;-0.40032;-0.03287;0.3284;0.80243;-0.09734;-0.5992;0.25016;0.11365
0;0.61014;-0.33763;-0.53185;0.64081;2.22193;-0.53293;-1.08007;-0.33104;-2.45119
0;-0.36601;-0.27805;0.28622;0.11816;0.4992;-0.30752;-0.87501;-0.07056;-0.00113
0;0.14743;-0.10841;-0.79513;-0.40211;0.1608;-0.76211;1.78772;5.73443;-1.27443
0;0.17518;-0.09909;0.83301;-0.33675;-0.66353;1.55043;-0.13057;0.00458;-0.01168
0;-0.30134;0.02152;0.33439;0.12468;0.29263;-0.6132;-1.40726;0.2808;0.02301
0;-0.30377;-0.55455;0.12347;0.31679;0.67618;0.00812;-0.81528;-0.08343;0.25226
0;-0.00316;0.07946;-0.12356;0.64923;0.27566;1.99622;0.65683;0.25711;-0.46168
0;0.34001;1.12755;0.55898;0.05582;-0.66088;0.52612;0.17499;-0.64805;-0.49596
0;-0.26284;0.23174;-0.09116;-0.18737;-0.05711;-0.00419;1.20639;2.83193;-1.86088
0;0.26919;0.22185;-0.14167;0.10001;0.55704;0.66194;-0.67259;0.27818;-1.00089
0;0.49483;-0.15799;-0.4999;-0.54776;1.71846;0.32709;-0.91222;0.38545;4.79493
0;-0.10409;0.42518;-1.25321;-1.09708;1.18699;0.83581;0.29926;2.18922;1.72288
0;-0.46815;-0.34599;-0.0834;0.40964;0.50788;-0.01649;-0.9308;-0.04949;0.08565
0;0.28364;-0.26915;0.27196;0.29917;-1.73707;-0.08202;1.94244;-1.83142;-1.08704
0;-0.10767;0.75011;-0.15628;-0.03458;0.27264;-0.68685;2.21622;-0.98935;1.25792
0;0.13428;0.06122;0.18053;-0.26672;0.2804;-0.89743;2.4778;-1.89289;-2.5354
0;0.28767;0.15703;-0.14844;0.21404;0.84375;-0.17239;1.45627;-1.67837;-0.85332
0;-0.31503;-0.39624;0.22242;-0.27876;-0.18795;-0.25556;1.38159;-1.38032;1.42164
0;-0.26195;-0.14647;0.11534;0.15065;-1.51159;-0.39251;0.97561;-1.31823;2.01899
0;0.456;1.04438;0.47669;-0.34563;-0.12504;0.22252;0.95859;-0.98889;-1.6816
0;0.11166;0.47428;-0.1679;0.92411;-0.41199;-1.33396;-0.4334;-0.74614;-2.83936
0;0.78934;-0.0942;0.11603;0.66355;0.14411;-1.3389;0.53203;-0.76134;0.11106
0;0.3564;-0.69118;0.47262;-0.70721;0.16281;0.25329;1.32046;0.08903;0.93655
0;0.37931;-0.90854;0.11058;-0.5733;-0.66185;0.20562;0.58221;-0.15381;0.22122
0;0.18233;0.09653;1.88177;1.2305;-0.58324;-0.11703;2.3711;3.33733;-0.80252
0;0.22052;0.28209;0.50897;-0.59062;-0.73799;0.2044;0.32216;-0.23728;-0.99808
0;0.63789;0.52539;0.30955;-0.94809;-1.17582;0.26239;0.13774;-0.53534;-0.7794
0;0.05529;-0.13877;-0.23882;1.04365;0.34857;-1.11579;0.05763;-0.46038;0.62965
0;0.02751;-0.02146;0.2725;-1.89554;-0.51343;0.43708;-0.75489;-0.93061;-0.92013
0;-0.16045;0.41645;-0.72931;-2.13782;-1.39406;-0.29369;-0.01036;0.00405;-2.55134
0;0.39547;-0.29406;-0.1208;-0.96919;1.36294;1.10302;1.34189;0.38009;-1.71756
0;-0.3511;-0.28335;0.28883;-0.43905;1.22614;2.68871;1.54018;-1.08484;-1.69381
0;0.40227;-0.06485;0.61512;-0.52633;-0.38831;-0.28884;-0.33923;-0.09553;-1.53772
0;-0.54802;0.16284;0.29615;0.37143;-0.98066;-1.00429;-0.31028;-0.57537;-3.36971
0;-0.01512;0.10827;-0.31571;0.98256;-0.25014;1.35945;1.2771;-1.58646;-1.05011
0;0.34207;-0.53134;0.57463;-0.62652;-0.57031;-0.88414;0.24989;-0.80299;-0.44462
0;0.49456;0.27029;0.1501;0.34894;-0.12351;-1.20025;1.41902;-1.26009;-0.15933
0;0.61921;0.14943;-0.04928;-0.00775;0.9548;-1.70308;0.51652;-1.25548;-0.31974
0;0.08266;0.17632;-0.12328;-2.30635;-1.02195;0.30098;-0.07881;-0.42195;-1.82514
0;-0.07819;0.18782;-0.00315;0.1709;-0.3744;0.53969;1.29948;-1.17567;0.85615
0;-0.06197;0.76301;0.12819;-1.3431;1.26184;-2.05551;1.53239;-1.36457;-1.02979
0;0.00987;-0.07875;0.12983;0.23595;0.58012;0.57954;0.72014;-0.85908;3.00568
0;0.51583;-0.46248;-0.37372;0.48497;-0.33877;0.3747;2.42325;0.02308;-0.3948
0;-0.06383;-0.39027;0.11821;-0.23307;-0.69671;0.23604;-0.47395;-0.58138;0.50966
0;-0.08648;-0.43908;0.16244;0.07579;0.67314;0.21685;-0.47118;-0.235;-0.56702
0;-0.18106;0.0496;0.3661;0.6624;-1.04649;-0.22179;-0.15704;0.26676;0.57204
0;-0.05;0.27345;0.09802;0.76389;-0.87433;0.72832;0.66351;-0.85892;-0.54872
0;0.00504;-0.29561;0.35055;-0.23197;-0.62609;-0.02509;-0.32951;-0.37808;-0.28695
0;0.45142;-0.16142;-0.27622;1.05511;0.08736;-1.18114;-0.43726;-0.65312;-1.24052
0;0.24878;-0.00527;-0.35964;0.47965;-1.03599;-0.47768;0.73161;-0.35977;0.07135
